track,frame_idx,instance.score,left_pec_fin_tip.x,left_pec_fin_tip.y,left_pec_fin_tip.score,right_eye.x,right_eye.y,right_eye.score,left_eye.x,left_eye.y,left_eye.score,right_pec_fin_base.x,right_pec_fin_base.y,right_pec_fin_base.score,anus.x,anus.y,anus.score,hyoid.x,hyoid.y,hyoid.score,dorsal_caudal.x,dorsal_caudal.y,dorsal_caudal.score,peduncle.x,peduncle.y,peduncle.score,pelvic_fin_base.x,pelvic_fin_base.y,pelvic_fin_base.score,ventral_caudal.x,ventral_caudal.y,ventral_caudal.score,right_pec_fin_tip.x,right_pec_fin_tip.y,right_pec_fin_tip.score,left_pec_fin_base.x,left_pec_fin_base.y,left_pec_fin_base.score,snout.x,snout.y,snout.score
,0,,575.6175140226867,468.5620478419605,,413.7028650711861,547.8215718261495,,437.74121799309484,490.0813858877796,,493.3952156065126,577.611892203737,,696.9369460453593,548.4358768586122,,444.276279581728,531.2753986996265,,978.1183178502271,591.0306272397686,,890.2906698374335,582.6602426273255,,586.8092808690492,547.7307056202633,,932.3605997952214,610.3824195133004,,568.9899076643669,623.2672915514554,,498.9589356828872,495.3962524276163,,394.93839814506055,522.2352056941288,
,4,,555.6048151606918,618.929753701598,,426.3444964962533,474.94202332404313,,414.28141663602497,540.8397711033631,,496.8729678581835,490.9905054294056,,700.8995217195476,548.4358768586123,,432.3885525591634,512.2550354635231,,974.9482573108764,512.5716288908416,,867.3077309271416,521.6365772448269,,612.9622803186917,546.9381904854256,,933.9456300648965,535.0934817037244,,579.3925146627835,471.42242664340887,,489.17967308485066,568.544881909708,,379.08809544830774,503.2148424580253,
,5,,577.2624087607046,465.16349466529306,,414.2183715115236,541.5906038538168,,419.39111737376305,470.76727955548495,,488.66268795210766,565.8774942257248,,699.9365366500326,553.7775639793131,,437.92117970196944,514.9259284885011,,956.5136108398438,468.68035888671875,,891.6840289276304,527.2002653673231,,609.7158070999674,546.5222539207195,,950.0675344889105,507.9905748965875,,556.9358891427729,617.1775155651883,,493.03834864004716,484.17626953125006,,379.1537396954507,500.0466720757324,
,12,,527.0742703065366,597.5318450609818,,399.5601916704924,454.4365400637911,,385.0968776248944,526.2974567205611,,469.9274532737037,474.347687597815,,668.4064011912042,538.1331801057228,,410.19812878370936,496.4047327667702,,942.4551367825331,469.77581160960887,,849.8723979607138,489.93597185132126,,587.6017960038865,534.2579483280231,,907.7926306152544,479.41221794166216,,548.4844244041152,461.9122450253569,,460.6491282306953,554.2796094826301,,356.105156538016,484.98699435675945,
,14,,539.9380276388765,451.13545893299096,,369.33260731335446,523.1018292950602,,380.50286865234375,456.7452392578125,,452.5882263183594,548.4429321289062,,664.3121337890625,532.0939331054688,,400.5855712890625,500.3739013671875,,928.6919555664062,472.9109191894531,,850.9366801179036,544.066041295939,,572.0872192382812,524.1087646484375,,910.0209709255613,509.83457081525074,,524.433316906525,582.5257583392495,,452.5552062988281,468.3542175292969,,336.48395845268556,485.41218771520175,
,15,,525.9326903084127,444.69848440099855,,360.10860294052736,523.727977007373,,372.8860778808594,456.6112976074219,,441.62071306965333,545.7692738968425,,660.5855712890625,520.7904663085938,,392.5197448730469,500.3976135253906,,927.8888549804688,515.776135002531,,855.9652219165935,560.74560546875,,568.1878662109375,516.7921142578125,,914.0040440465984,544.5198294976319,,518.3821572208442,576.0727580479598,,448.10360717773443,465.8838859646239,,328.95968376554356,482.48569134837237,
,20,,504.62652587890625,436.64801025390625,,337.90457688259266,507.0018854835776,,352.3684997558594,440.37103271484375,,416.13818359375,532.7219848632812,,641.3678469310628,520.4277954101562,,364.47821044921875,484.5636901855469,,906.767113755062,470.10727463649897,,813.2654192400961,486.3861747829834,,544.4965209960938,516.8827514648438,,890.1900217032645,487.4559088002284,,484.0340270996094,582.1894889919677,,420.97185083731284,459.5787498209718,,312.35254031937666,467.8425119918294,
,33,,462.1758794090007,398.9258979709229,,289.0499267578125,460.7997741699219,,313.40205713614097,393.8838249294678,,360.802490234375,496.22979736328125,,580.077880859375,480.8299560546875,,316.5536193847656,440.2974853515625,,848.5580456904703,545.2237416702799,,777.3855269856937,547.9748251899173,,480.48590087890625,476.7333679199219,,811.8505540168853,563.0694953088628,,423.59797463831376,545.3478261429362,,380.0042419433594,416.4279479980469,,263.8780637134684,412.79589843749994,
,39,,435.2889379887509,380.3767291680778,,260.2029724121094,428.27606201171875,,292.3556823730469,364.5583801269531,,329.6171025535319,464.5781237431234,,560.6947021484375,480.357666015625,,288.86376953125,404.795166015625,,817.7013405110596,428.4640915093261,,736.3135986328125,484.3066711425781,,464.1292724609375,464.9956359863281,,776.7243746762776,457.1215102973144,,375.25326976140195,527.3636534943961,,352.0272018608887,391.5001764992025,,241.1960787425863,376.83202873624674,
,42,,431.85632449906416,370.15576832501625,,248.7574005126953,416.25054931640625,,285.03326416015625,352.26759008065596,,320.1899719238281,460.520263671875,,540.9276123046875,456.498291015625,,280.677001953125,400.6321716308594,,814.3850349338136,506.087154110612,,724.6369534487225,471.84704715531416,,448.3366394042969,453.2936706542969,,786.6129216436855,511.74255196259907,,368.21466064453125,520.9957885742188,,344.36102294921875,384.6166076660156,,233.75758692129722,364.7093691478598,
