track,frame_idx,instance.score,left_pec_fin_tip.x,left_pec_fin_tip.y,left_pec_fin_tip.score,right_eye.x,right_eye.y,right_eye.score,left_eye.x,left_eye.y,left_eye.score,right_pec_fin_base.x,right_pec_fin_base.y,right_pec_fin_base.score,anus.x,anus.y,anus.score,hyoid.x,hyoid.y,hyoid.score,dorsal_caudal.x,dorsal_caudal.y,dorsal_caudal.score,peduncle.x,peduncle.y,peduncle.score,pelvic_fin_base.x,pelvic_fin_base.y,pelvic_fin_base.score,ventral_caudal.x,ventral_caudal.y,ventral_caudal.score,right_pec_fin_tip.x,right_pec_fin_tip.y,right_pec_fin_tip.score,left_pec_fin_base.x,left_pec_fin_base.y,left_pec_fin_base.score,snout.x,snout.y,snout.score
,0,,314.9826609794792,185.2969969129802,,157.4711151123047,236.5320587158203,,188.35533142089844,180.6822509765625,,217.8397660535643,275.37865137994015,,410.03440117368984,304.3157653808594,,176.37318420410156,220.55404663085938,,675.426719431779,448.0557263545329,,592.1439819335938,400.67570951606444,,349.54458440450225,287.0833741796517,,617.3915493254801,468.682916983236,,244.11209815098186,352.57239993815676,,248.24375915527344,200.86936950683594,,143.85919189453125,188.56797790527344,
,1,,314.6802141700479,179.87636900154308,,158.51299165346472,227.64545735174102,,188.0989505192369,174.66036222239717,,217.90764039533278,268.2937525400275,,404.49886129026856,297.2085791150787,,166.89598238855257,211.09928422521827,,683.3026876906238,417.46981271032473,,596.2675548126674,369.4736713559993,,284.0684993610691,255.29262086517232,,615.3545458601634,442.36921092771985,,239.403521817434,343.82748993454794,,247.4625569593689,195.27025340117711,,138.9560095925015,184.6237582532923,
,2,9.986812591552734,316.5491943359375,176.20957946777344,0.7648271918296814,148.78599548339844,216.70156860351562,0.884677529335022,184.36044311523438,172.17018127441406,0.9235684871673584,216.46612548828125,264.2638244628906,0.8735049962997437,408.55059814453125,296.69036865234375,0.8955259323120117,176.33856201171875,204.3466033935547,0.8057443499565125,692.0328369140625,384.4672546386719,0.3627569079399109,600.6204833984375,352.5300598144531,0.895422101020813,344.06201171875,275.9824523925781,0.6804378032684326,628.8690795898438,408.6057434082031,0.245062455534935,248.25888061523438,336.9268493652344,0.7181949615478516,252.0239715576172,188.53213500976562,0.9856650829315186,140.171142578125,184.48312377929688,0.9514241814613342
,3,,314.680214170048,168.781157113816,,143.4552040915495,209.4176092504752,,176.21122349667215,168.32024114369597,,218.7001555301704,255.61351038262512,,411.6314975038075,296.4160639802409,,176.40616400660429,196.83401179814064,,696.7754449828635,338.21829922656,,598.6451002171802,336.98055082765586,,343.5071344738923,271.9354386967628,,640.7150301749681,382.1380606800588,,252.0837639748362,331.1472477771456,,249.84010236388184,177.04240529991122,,134.99343391831323,182.24621284877924,
,4,,,,,144.33015567582197,208.50288516800947,,172.13827514648438,166.5053657443604,,220.2898406982422,248.7808380126953,,417.1660341869222,291.76548562464194,,172.44451904296875,192.31434631347656,,690.5754035861572,309.0771459237467,,586.3293205349366,349.0617873969238,,341.23925655562334,257.78624167027994,,664.4518696561285,351.2484580729249,,253.21216465567846,322.25684923588045,,,,,129.9272972195068,179.03265790110675,
,5,9.843707084655762,,,0.0,144.17449951171875,208.52268981933594,0.8564606308937073,172.56597900390625,164.2375030517578,0.7104251384735107,220.4021759033203,248.64239501953125,0.9260669946670532,432.1294250488281,288.0507507324219,0.9246640205383301,168.9007568359375,192.0471954345703,0.8109710216522217,692.5567626953125,316.94085693359375,1.0745548009872437,596.8028564453125,360.74822998046875,0.8039013743400574,344.94677734375,252.39132690429688,0.981718897819519,648.671630859375,344.399658203125,0.23316837847232819,256.8665771484375,320.2288513183594,0.8429041504859924,248.439697265625,172.82667541503906,0.5447207689285278,128.4786376953125,180.47927856445312,1.0079926252365112
,6,,,,,131.56747706898477,200.69994276726106,,160.3609207999193,155.63999898629362,,217.9076403953328,242.93326822522272,,425.896769930885,263.1304283170599,,163.725921849202,185.7387999104136,,691.2278390390001,342.973390035586,,593.8900094081546,360.7560048727851,,345.8846798784053,237.85728789874406,,654.9803026020455,371.83536392716957,,259.216400188375,320.05203588941856,,240.32992074583015,166.73970854702185,,121.52067662607331,187.00130365780507,
,7,9.352714538574219,,,0.0,140.652099609375,208.1793975830078,0.8288457989692688,168.49363708496094,153.05865478515625,0.8439079523086548,216.2924346923828,244.61190795898438,0.8979564905166626,424.02587890625,252.53082275390625,0.769237756729126,164.51934814453125,184.9203643798828,0.8211888074874878,680.6930541992188,364.34814453125,0.8264400959014893,580.0618286132812,348.3229675292969,0.6795064210891724,340.1703186035156,240.29920959472656,0.9702675938606262,604.41162109375,388.59796142578125,0.20275117456912994,256.5889587402344,316.3648376464844,0.9125877618789673,244.19297790527344,168.40794372558594,0.7022455930709839,120.76964569091797,176.7371063232422,0.8520787358283997
,8,,,,,149.20154232406423,210.33011492696133,,173.95692741972664,149.58304619322104,,213.20479151114094,241.73371021954756,,421.37714409361166,245.69525476797688,,164.0409088134766,182.31385393971357,,668.1242770200276,369.56928276548666,,579.0404996618081,322.98584393626294,,337.46932857710766,238.4734443576416,,600.2724236094891,390.1621064410883,,249.63858394322924,317.9585550902806,,239.09264932093103,167.95755256258138,,123.08475289759116,165.97540487828775,
,9,,321.16520927916537,150.28334003721108,,140.85850524902344,204.80856323242188,,171.92550659179688,148.85968017578125,,208.84506225585938,240.85044860839844,,424.13458251953125,244.3563690185547,,164.44338989257812,184.0898895263672,,660.1698186884928,364.63225467668474,,592.4143676757812,296.1288757324219,,336.6390686035156,236.6869354248047,,615.0479325076201,377.2346028907897,,248.27845764160156,316.5165100097656,,240.11492919921875,164.6121826171875,,126.96618447718102,166.7520805447021,
,10,,,,,140.59336853027344,204.8619842529297,,168.37364196777344,148.9587860107422,,208.66720581054688,244.19387817382812,,428.08843994140625,244.66519165039062,,160.79689025878906,184.27696228027344,,683.238610337093,303.83966315828445,,600.5590209960938,272.39892578125,,336.86138916015625,236.81857299804688,,636.677873275733,336.86390693231294,,247.63620734681803,317.7392339011882,,240.0565643310547,164.55885314941406,,120.6266860961914,171.12532908709312,
