track,frame_idx,instance.score,Snout.x,Snout.y,Snout.score,BP1.x,BP1.y,BP1.score,BP2.x,BP2.y,BP2.score,BP3.x,BP3.y,BP3.score,BP4.x,BP4.y,BP4.score,BP5.x,BP5.y,BP5.score,BP6.x,BP6.y,BP6.score,Tail.x,Tail.y,Tail.score
,0,6.0830078125,1752.669189453125,821.0576782226562,0.9040934443473816,1864.0020751953125,832.6494750976562,0.7972331643104553,1928.319091796875,828.1385498046875,0.6773828268051147,2000.7291259765625,812.82373046875,0.7680767774581909,2080.60498046875,804.2311401367188,0.603293776512146,2156.789306640625,816.4283447265625,0.6326401233673096,2208.80322265625,860.7964477539062,0.7635956406593323,2252.76123046875,924.760009765625,0.9366920590400696
,1,6.072227478027344,1752.3612060546875,820.9364013671875,0.9219983816146851,1860.701904296875,832.7606811523438,0.7958617806434631,1927.9998779296875,828.352783203125,0.6710302829742432,2000.414794921875,816.0330810546875,0.7721095681190491,2080.42578125,804.2818603515625,0.6133955717086792,2156.531982421875,816.2421264648438,0.6290656924247742,2208.59716796875,860.3494262695312,0.7553327679634094,2248.911376953125,924.3359985351562,0.913433849811554
,2,6.0734052658081055,1751.9449462890625,820.8433837890625,0.9194874167442322,1860.2626953125,832.7578735351562,0.7974576950073242,1924.47509765625,828.4664306640625,0.6765826344490051,1996.88623046875,816.2207641601562,0.7607298493385315,2076.641357421875,804.35205078125,0.618291437625885,2156.4931640625,816.0586547851562,0.6283907890319824,2208.631103515625,856.88916015625,0.7449296712875366,2248.492919921875,924.2914428710938,0.9275359511375427
,3,6.057767391204834,1748.6444091796875,820.781494140625,0.928010106086731,1856.89599609375,832.8005981445312,0.7875719666481018,1924.301513671875,828.5774536132812,0.6746629476547241,1996.759765625,816.2681274414062,0.755821704864502,2076.46484375,804.472900390625,0.6333881616592407,2156.296630859375,812.8509521484375,0.622336208820343,2208.64404296875,856.6980590820312,0.7473142743110657,2248.152587890625,924.1405029296875,0.9086619019508362
,4,6.086848735809326,1748.3131103515625,820.53759765625,0.9255574345588684,1856.747802734375,832.79638671875,0.7991604804992676,1924.0750732421875,828.74755859375,0.66717928647995,1996.544921875,816.3507080078125,0.7577340006828308,2072.687744140625,804.7271728515625,0.6542950868606567,2152.447265625,812.4832763671875,0.6180505156517029,2208.4775390625,852.9257202148438,0.7375485301017761,2244.240966796875,920.6398315429688,0.9273236989974976
,5,6.00749397277832,1744.9117431640625,820.2052612304688,0.903127908706665,1856.2674560546875,832.8817138671875,0.7862465381622314,1920.5570068359375,832.2078857421875,0.676324725151062,1996.150390625,816.4132080078125,0.7516428232192993,2072.3369140625,804.876220703125,0.6457234621047974,2148.75244140625,812.3060913085938,0.5987837910652161,2208.48388671875,852.7080078125,0.7542364001274109,2241.04638671875,920.3101196289062,0.891408383846283
,6,6.015382766723633,1744.281982421875,820.0428466796875,0.8950075507164001,1852.6058349609375,835.9061889648438,0.7759068608283997,1920.041015625,832.3923950195312,0.6791729927062988,1992.556396484375,816.591064453125,0.757103443145752,2068.534423828125,808.2191162109375,0.6609132289886475,2148.49951171875,812.1126098632812,0.6000943779945374,2208.503662109375,852.3110961914062,0.7414340376853943,2240.298828125,916.9912719726562,0.905750036239624
,7,6.040043830871582,1740.801513671875,816.9094848632812,0.9057273268699646,1852.1507568359375,832.9379272460938,0.7774331569671631,1916.61572265625,832.4967651367188,0.6895310282707214,1992.3204345703125,816.7431030273438,0.7554747462272644,2068.369140625,808.2635498046875,0.6690518856048584,2144.638916015625,808.8382568359375,0.5979354381561279,2208.447998046875,848.7698974609375,0.7454749941825867,2237.0087890625,916.48681640625,0.8994150161743164
,8,6.089240074157715,1740.4234619140625,816.7667846679688,0.9244285225868225,1848.77392578125,832.8568115234375,0.7893400192260742,1916.32470703125,832.593017578125,0.6902093291282654,1992.0560302734375,820.2467041015625,0.7531340718269348,2068.25830078125,808.4166870117188,0.6788215637207031,2144.442138671875,808.6470336914062,0.597720205783844,2208.458251953125,848.4130249023438,0.7484797835350037,2236.634765625,916.0983276367188,0.907106339931488
,9,6.100790023803711,1740.108154296875,816.418701171875,0.9196138381958008,1848.5145263671875,832.8799438476562,0.7917711734771729,1916.1156005859375,832.7521362304688,0.6933417320251465,1988.78125,820.5438232421875,0.7576243281364441,2064.707275390625,808.5567016601562,0.6792756915092468,2140.463134765625,808.4033813476562,0.5982470512390137,2208.301513671875,844.7803344726562,0.7478262782096863,2236.19921875,912.7539672851562,0.9130896329879761
,10,6.065390586853027,1736.6822509765625,816.2039184570312,0.9215874075889587,1848.06396484375,832.818603515625,0.778176486492157,1912.5948486328125,836.0203247070312,0.689805805683136,1988.63720703125,820.6419067382812,0.7640763521194458,2064.6923828125,808.7177734375,0.6854501366615295,2140.36962890625,808.2484130859375,0.6050817370414734,2208.260498046875,844.3244018554688,0.744400143623352,2233.059326171875,912.1513061523438,0.876812756061554
,11,6.04322624206543,1736.05517578125,815.985107421875,0.9083713293075562,1844.4505615234375,832.742431640625,0.7915048003196716,1912.1650390625,836.1159057617188,0.6921358704566956,1988.3087158203125,820.8156127929688,0.7656341791152954,2064.443115234375,812.0891723632812,0.6888911128044128,2136.3251953125,808.0962524414062,0.6000163555145264,2204.609619140625,840.492431640625,0.761482298374176,2232.55224609375,908.4326782226562,0.835189938545227
