track,frame_idx,instance.score,left_pec_fin_tip.x,left_pec_fin_tip.y,left_pec_fin_tip.score,right_eye.x,right_eye.y,right_eye.score,left_eye.x,left_eye.y,left_eye.score,right_pec_fin_base.x,right_pec_fin_base.y,right_pec_fin_base.score,anus.x,anus.y,anus.score,hyoid.x,hyoid.y,hyoid.score,dorsal_caudal.x,dorsal_caudal.y,dorsal_caudal.score,peduncle.x,peduncle.y,peduncle.score,pelvic_fin_base.x,pelvic_fin_base.y,pelvic_fin_base.score,ventral_caudal.x,ventral_caudal.y,ventral_caudal.score,right_pec_fin_tip.x,right_pec_fin_tip.y,right_pec_fin_tip.score,left_pec_fin_base.x,left_pec_fin_base.y,left_pec_fin_base.score,snout.x,snout.y,snout.score
,0,11.083112716674805,336.15325927734375,320.7353210449219,0.9050332903862,192.59375,452.6085510253906,1.0384050607681274,192.49887084960938,380.4255676269531,0.9510288238525391,268.2529602050781,460.17315673828125,0.9168262481689453,460.2108154296875,380.81549072265625,0.7587823271751404,220.7072296142578,420.32232666015625,0.973960816860199,736.0396728515625,400.44580078125,0.7318270802497864,648.72998046875,392.1512145996094,0.8872523307800293,384.5450439453125,404.09539794921875,0.8577715158462524,,,0.0,316.5966491699219,524.7171630859375,0.9463585615158081,272.4154052734375,376.6326599121094,1.0384023189544678,152.7292938232422,424.728759765625,0.8778955340385437
,1,,335.6951053712255,322.4891478266637,,192.48447599463697,455.91843721245124,,195.486204008431,379.88187715385743,,265.53584494176425,461.1408266673909,,466.2145649992839,388.67719543549,,224.32138187211103,423.6991696704997,,724.0031046079426,387.5735256744951,,649.421863044344,371.48749156359867,,390.79301373698735,404.66643091543773,,706.066371639909,425.81410421910823,,310.3472901552181,528.5792145335689,,275.7358716182048,379.61213353768727,,153.53056665762534,424.169841021045,
,2,,337.80361016857006,327.0763079768955,,191.83070987412103,452.48035612159015,,192.8348846435547,384.3629455566406,,268.5592041015625,460.6833801269531,,474.8913718912842,383.9316723994548,,224.21063232421875,424.70953369140625,,724.1018091543782,341.7706827635983,,634.906161282902,346.60573931569013,,388.3547058105469,408.2146301269531,,717.1346901109365,406.4935608474473,,311.36092958833694,538.0351456628819,,273.03411865234375,380.6358642578125,,156.03379821777344,428.44866943359375,
,4,,340.3340148925781,328.27288818359375,,197.14242553710938,456.8536682128906,,196.86688232421875,384.63897705078125,,272.1075439453125,464.146484375,,496.2061780146891,399.0069712203451,,228.35279846191406,428.102783203125,,718.4440571867838,287.50697122034506,,639.8094482421875,341.15380859375,,396.6292724609375,416.1852722167969,,737.1629834152629,357.08759651652036,,304.4882507324219,544.4172973632812,,280.0966491699219,384.2102966308594,,160.5704968623454,428.33178585249846,
,5,11.147820472717285,336.3692626953125,332.21820068359375,0.9343571662902832,204.7747039794922,468.2625427246094,0.9804900884628296,196.5049591064453,396.07080078125,0.8900978565216064,276.616455078125,464.8450012207031,0.8935507535934448,500.3545837402344,396.50982666015625,0.8963084816932678,228.80477905273438,432.9720153808594,1.0588231086730957,720.146484375,272.52166748046875,0.9345563054084778,660.2777709960938,348.8878173828125,0.735852062702179,400.8656921386719,412.8601989746094,0.8778015375137329,,,0.0,312.2630615234375,544.4998168945312,0.8907487988471985,276.4556579589844,384.8500061035156,0.9585158824920654,161.12059020996094,444.51953125,0.9585946798324585
,6,10.823765754699707,332.15020751953125,336.13006591796875,0.8304173946380615,212.94700622558594,480.8229675292969,0.9394470453262329,196.45101928710938,408.68072509765625,1.0041613578796387,280.9120788574219,472.1795654296875,0.872992992401123,488.7166442871094,392.0797424316406,0.8745477795600891,232.3680877685547,444.9119567871094,0.973006010055542,716.47412109375,277.0262756347656,0.7414693832397461,664.7250366210938,368.5202941894531,0.7405290603637695,404.5763854980469,408.63311767578125,0.9176552891731262,,,0.0,324.44549560546875,544.8226928710938,0.9743208289146423,272.353759765625,392.5208740234375,0.9454386234283447,168.4176788330078,464.13372802734375,0.9131971001625061
,7,,324.88665771484375,340.7278747558594,,216.3917694091797,492.5029296875,,196.6844024658203,420.6905822753906,,284.5987854003906,480.62701416015625,,484.296875,380.5907897949219,,232.37237548828125,456.3280334472656,,719.5616480215659,301.5894350658284,,663.8677978515625,384.07647705078125,,409.24460625181484,411.26023785808115,,745.0672368808868,345.0707636705175,,340.0216064453125,544.2518310546875,,269.71476950231124,408.46684721137694,,172.56625491898603,476.56594974320484,
,9,10.044659614562988,332.4322509765625,376.24053955078125,0.3817555904388428,208.80259704589844,500.13836669921875,0.9259490370750427,204.2637939453125,428.36822509765625,0.8389176726341248,277.0234069824219,500.05908203125,0.8356091976165771,472.7701110839844,384.23309326171875,0.6926811337471008,228.84707641601562,468.1274719238281,0.9763683676719666,720.571533203125,336.52764892578125,0.9062051773071289,648.2718505859375,336.23577880859375,0.8279640674591064,400.4677429199219,420.74322509765625,0.9190067648887634,,,0.0,312.87664794921875,580.24072265625,0.9272977113723755,276.37713623046875,424.2217102050781,0.7632408142089844,172.1108856201172,476.1548767089844,0.9257037043571472
,10,10.829042434692383,340.0972900390625,388.4573059082031,0.5722479820251465,204.87255859375,492.57373046875,1.0305122137069702,208.04296875,420.7605895996094,0.8548952341079712,272.3492431640625,500.19476318359375,0.8118667602539062,500.3958740234375,384.1596374511719,0.8372623920440674,228.14129638671875,464.2001037597656,1.040321946144104,748.5115966796875,336.5183410644531,0.806483805179596,644.6370849609375,312.3774108886719,0.9109340906143188,408.4157409667969,432.2938537597656,0.9017657041549683,704.5411376953125,356.39093017578125,0.27099430561065674,292.6414794921875,584.7788696289062,1.0377494096755981,276.40362548828125,424.1509704589844,0.8530792593955994,168.57240295410156,464.49920654296875,0.9009290933609009
,11,10.851425170898438,340.77880859375,395.8638000488281,0.8608533143997192,200.3701934814453,484.2760314941406,1.015787959098816,208.6021728515625,412.79144287109375,0.8582478761672974,264.40869140625,496.48211669921875,0.7859609723091125,507.9576721191406,400.4419250488281,0.9045937061309814,224.17726135253906,456.5829772949219,0.9691042900085449,744.657958984375,288.70953369140625,0.6989187002182007,647.9766235351562,304.5823974609375,0.9079485535621643,408.4399108886719,444.45867919921875,0.9471740126609802,704.8951416015625,308.3651123046875,0.2735218405723572,276.6947021484375,584.7152099609375,0.8879737854003906,272.9548034667969,420.7622985839844,0.8228480815887451,164.9869384765625,452.4845886230469,0.9184925556182861
